Time,N
0.000001,1
0.000000,2
0.000000,3
0.000001,4
0.000001,5
0.000000,6
0.000000,7
0.000001,8
0.000000,9
0.000001,10
0.000001,11
0.000000,12
0.000001,13
0.000001,14
0.000000,15
0.000001,16
0.000000,17
0.000001,18
0.000000,19
0.000001,20
0.000001,21
0.000000,22
0.000001,23
0.000001,24
0.000000,25
0.000001,26
0.000000,27
0.000001,28
0.000001,29
0.000001,30
0.000000,31
0.000001,32
0.000000,33
0.000001,34
0.000000,35
0.000001,36
0.000001,37
0.000000,38
0.000001,39
0.000001,40
0.000000,41
0.000001,42
0.000001,43
0.000000,44
0.000001,45
0.000001,46
0.000000,47
0.000001,48
0.000000,49
0.000001,50
0.000000,51
0.000001,52
0.000001,53
0.000000,54
0.000001,55
0.000001,56
0.000000,57
0.000001,58
0.000000,59
0.000001,60
0.000000,61
0.000001,62
0.000000,63
0.000001,64
0.000001,65
0.000000,66
0.000001,67
0.000000,68
0.000001,69
0.000000,70
0.000001,71
0.000000,72
0.000001,73
0.000000,74
0.000001,75
0.000001,76
0.000001,77
0.000000,78
0.000001,79
0.000000,80
0.000001,81
0.000000,82
0.000001,83
0.000000,84
0.000001,85
0.000000,86
0.000001,87
0.000001,88
0.000000,89
0.000001,90
0.000000,91
0.000001,92
0.000000,93
0.000001,94
0.000000,95
0.000001,96
0.000001,97
0.000000,98
0.000001,99
0.000001,100
0.000000,101
0.000001,102
0.000001,103
0.000000,104
0.000001,105
0.000001,106
0.000000,107
0.000001,108
0.000000,109
0.000001,110
0.000001,111
0.000000,112
0.000001,113
0.000001,114
0.000000,115
0.000001,116
0.000000,117
0.000001,118
0.000000,119
0.000001,120
0.000000,121
0.000001,122
0.000001,123
0.000000,124
0.000001,125
0.000001,126
0.000000,127
0.000001,128
0.000000,129
0.000001,130
0.000001,131
0.000000,132
0.000001,133
0.000000,134
0.000001,135
0.000001,136
0.000000,137
0.000001,138
0.000000,139
0.000001,140
0.000000,141
0.000001,142
0.000001,143
0.000000,144
0.000001,145
0.000000,146
0.000001,147
0.000001,148
0.000000,149
0.000001,150
0.000000,151
0.000001,152
0.000001,153
0.000000,154
0.000001,155
0.000000,156
0.000001,157
0.000001,158
0.000000,159
0.000001,160
0.000001,161
0.000000,162
0.000001,163
0.000000,164
0.000001,165
0.000000,166
0.000001,167
0.000000,168
0.000001,169
0.000001,170
0.000000,171
0.000001,172
0.000001,173
0.000000,174
0.000001,175
0.000001,176
0.000000,177
0.000001,178
0.000000,179
0.000001,180
0.000000,181
0.000001,182
0.000001,183
0.000000,184
0.000001,185
0.000001,186
0.000000,187
0.000001,188
0.000000,189
0.000001,190
0.000000,191
0.000001,192
0.000000,193
0.000001,194
0.000001,195
0.000000,196
0.000001,197
0.000001,198
0.000000,199
0.000001,200
0.000000,201
0.000001,202
0.000000,203
0.000000,204
0.000001,205
0.000000,206
0.000001,207
0.000000,208
0.000001,209
0.000000,210
0.000001,211
0.000001,212
0.000000,213
0.000001,214
0.000001,215
0.000000,216
0.000001,217
0.000000,218
0.000001,219
0.000000,220
0.000001,221
0.000001,222
0.000000,223
0.000001,224
0.000001,225
0.000000,226
0.000001,227
0.000000,228
0.000001,229
0.000000,230
0.000001,231
0.000000,232
0.000001,233
0.000001,234
0.000000,235
0.000001,236
0.000001,237
0.000000,238
0.000001,239
0.000000,240
0.000001,241
0.000000,242
0.000001,243
0.000001,244
0.000000,245
0.000001,246
0.000000,247
0.000001,248
0.000001,249
0.000001,250
0.000000,251
0.000001,252
0.000000,253
0.000001,254
0.000000,255
0.000001,256
0.000001,257
0.000000,258
0.000001,259
0.000001,260
0.000000,261
0.000001,262
0.000000,263
0.000001,264
0.000000,265
0.000001,266
0.000001,267
0.000001,268
0.000000,269
0.000001,270
0.000000,271
0.000001,272
0.000000,273
0.000001,274
0.000000,275
0.000001,276
0.000001,277
0.000000,278
0.000001,279
0.000000,280
0.000001,281
0.000000,282
0.000001,283
0.000000,284
0.000001,285
0.000001,286
0.000000,287
0.000001,288
0.000001,289
0.000000,290
0.000001,291
0.000000,292
0.000001,293
0.000001,294
0.000000,295
0.000001,296
0.000001,297
0.000000,298
0.000001,299
0.000000,300
0.000001,301
0.000001,302
0.000000,303
0.000001,304
0.000001,305
0.000000,306
0.000001,307
0.000001,308
0.000000,309
0.000001,310
0.000001,311
0.000000,312
0.000001,313
0.000000,314
0.000001,315
0.000000,316
0.000001,317
0.000000,318
0.000001,319
0.000001,320
0.000000,321
0.000001,322
0.000001,323
0.000001,324
0.000001,325
0.000001,326
0.000001,327
0.000001,328
0.000001,329
0.000001,330
0.000000,331
0.000000,332
0.000000,333
0.000001,334
0.000000,335
0.000001,336
0.000000,337
0.000001,338
0.000001,339
0.000001,340
0.000000,341
0.000001,342
0.000000,343
0.000001,344
0.000000,345
0.000000,346
0.000001,347
0.000000,348
0.000000,349
0.000001,350
0.000000,351
0.000001,352
0.000000,353
0.000001,354
0.000000,355
0.000001,356
0.000001,357
0.000000,358
0.000001,359
0.000000,360
0.000001,361
0.000000,362
0.000001,363
0.000001,364
0.000001,365
0.000000,366
0.000001,367
0.000001,368
0.000001,369
0.000001,370
0.000001,371
0.000001,372
0.000001,373
0.000001,374
0.000000,375
0.000001,376
0.000001,377
0.000000,378
0.000001,379
0.000000,380
0.000001,381
0.000001,382
0.000000,383
0.000001,384
0.000001,385
0.000000,386
0.000001,387
0.000000,388
0.000001,389
0.000000,390
0.000001,391
0.000000,392
0.000001,393
