Time,N
0.000001,1
0.000001,2
0.000000,3
0.000000,4
0.000001,5
0.000001,6
0.000000,7
0.000000,8
0.000001,9
0.000001,10
0.000001,11
0.000002,12
0.000002,13
0.000004,14
0.000006,15
0.000011,16
0.000015,17
0.000025,18
0.000040,19
0.000062,20
0.000101,21
0.000169,22
0.000262,23
0.000447,24
0.000756,25
0.001120,26
0.001914,27
0.003383,28
0.006980,29
0.011297,30
0.020408,31
0.034204,32
0.045146,33
0.064092,34
0.102508,35
0.200682,36
0.339149,37
0.591494,38
0.804680,39
1.587706,40
2.232085,41
3.521528,42
5.875691,43
9.397546,44
